Team,League,Description,W,L,Runs,AB,Hits,Doubles,Triples,Homers,Walks,Strikeouts
ARI,NL,Arizona Diamondbacks,25,35,269,1997,482,101,12,58,181,461
ATL,NL,Atlanta Braves,35,25,348,2074,556,130,3,103,239,573
BAL,AL,Baltimore Orioles,25,35,274,2026,523,102,7,77,164,514
BOS,AL,Boston Red Sox,24,36,292,2083,552,118,7,81,187,545
CHA,AL,Chicago White Sox,35,25,306,2047,534,94,6,96,179,571
CHN,NL,Chicago Cubs,34,26,265,1918,422,82,8,74,229,568
CIN,NL,Cincinnati Reds,31,29,243,1842,390,76,3,90,239,534
CLE,AL,Cleveland Indians,35,25,248,1959,446,96,5,59,239,517
COL,NL,Colorado Rockies,26,34,275,2057,528,84,16,63,161,543
DET,AL,Detroit Tigers,23,35,249,1893,463,78,12,62,147,567
HOU,AL,Houston Astros,29,31,279,1992,478,103,12,69,192,440
KCA,AL,Kansas City Royals,26,34,248,1988,485,97,7,68,172,527
LAA,AL,Los Angeles Angels of Anaheim,26,34,294,2020,501,97,8,85,239,490
LAN,NL,Los Angeles Dodgers,43,17,349,2042,523,97,6,118,228,471
MIA,NL,Miami Marlins,31,29,263,1935,472,82,5,60,191,537
MIL,NL,Milwaukee Brewers,29,31,247,1920,429,83,5,75,221,582
MIN,AL,Minnesota Twins,36,24,269,1937,468,81,3,91,186,528
NYA,AL,New York Yankees,33,27,315,1915,473,87,7,94,251,480
NYN,NL,New York Mets,26,34,286,2023,551,106,7,86,197,498
OAK,AL,Oakland Athletics,36,24,274,1908,430,91,11,71,238,524
PHI,NL,Philadelphia Phillies,28,32,306,1948,500,90,10,82,229,480
PIT,NL,Pittsburgh Pirates,19,41,219,1932,425,76,6,59,167,521
SDN,NL,San Diego Padres,37,23,325,1972,506,103,12,95,204,479
SEA,AL,Seattle Mariners,27,33,254,1929,435,88,5,60,207,545
SFN,NL,San Francisco Giants,29,31,299,2019,532,107,14,81,195,499
SLN,NL,St. Louis Cardinals,30,28,240,1752,410,73,7,51,205,477
TBA,AL,Tampa Bay Rays,40,20,289,1975,470,105,12,80,243,608
TEX,AL,Texas Rangers,22,38,224,1936,420,80,9,62,167,548
TOR,AL,Toronto Blue Jays,32,28,302,2023,516,104,4,88,203,508
