NUM,playerID,Team,Name,AB,G,R,H,2B,3B,HR,RBI,BB,SO
1,abreujo02,CHA,Jose Dariel Abreu,240,60,43,76,15,0,19,60,18,59
2,acunaro01,ATL,Ronald Jose Acuna,160,46,46,40,11,0,14,29,38,60
3,adamewi01,TBA,Willy Rafael Adames,185,54,29,48,15,1,8,23,20,74
4,adamsau02,SDN,Austin Lance Adams,1,3,0,0,0,0,0,0,0,1
5,adamsma01,ATL,Matthew James Adams,49,16,4,9,2,0,2,9,2,18
6,adelljo01,LAA,Jordon Scott Adell,124,38,9,20,4,0,3,7,7,55
7,adriaeh01,MIN,Ehire Enrique Adrianza,89,44,10,17,7,0,0,3,11,23
8,aguilje01,MIA,Jesus Alexander Aguilar,188,51,31,52,10,0,8,34,23,40
9,ahmedni01,ARI,Nicholas Mark Ahmed,199,57,29,53,10,1,5,29,18,46
10,akiyash01,CIN,Shogo Akiyama,155,54,16,38,6,1,0,9,25,34
11,alberha01,BAL,Hanser Joel Alberto,219,54,35,62,15,0,3,22,5,30
12,albieoz01,ATL,Ozhaino Jurdy Jiandro Albies,118,29,21,32,5,0,6,19,5,30
13,alcanse01,DET,Sergio Junior Alcantara,21,10,2,3,0,1,1,1,2,4
14,alfarjo01,MIA,Jorge Mario Alfaro,93,31,12,21,2,0,3,16,4,36
15,alforan01,TOR,Anthony Joseph Alford,16,13,3,3,0,0,1,3,0,7
16,alforan01,PIT,Anthony Joseph Alford,12,5,2,3,0,1,1,4,1,1
17,allenau01,OAK,Austin Michael Allen,31,14,1,6,1,0,1,3,1,14
18,allengr01,CLE,Gregory Lomack Allen,25,15,3,4,1,0,1,4,1,9
19,allengr01,SDN,Gregory Lomack Allen,1,1,1,0,0,0,0,0,2,1
20,almonab01,SDN,Abraham Almonte,11,7,0,1,0,0,0,0,2,4
21,almoral01,CHN,Reinaldo Albert Almora,30,28,4,5,1,0,0,1,3,9
22,alonspe01,NYN,Peter Morgan Alonso,208,57,31,48,6,0,16,35,24,61
23,altuvjo01,HOU,Jose Carlos Altuve,192,48,32,42,9,0,5,18,17,39
24,alvared01,MIA,Eduardo Cortes Alvarez,37,12,6,7,1,0,0,2,3,16
25,alvaryo01,HOU,Yordan Ruben Alvarez,8,2,2,2,0,0,1,4,0,1
26,anderbr06,MIA,Brian Wade Anderson,200,59,27,51,7,1,11,38,22,66
27,anderti01,CHA,Timothy Devon Anderson,208,49,45,67,11,1,10,21,10,50
28,andruel01,TEX,Elvis Augusto Andrus,103,29,11,20,5,0,3,7,8,15
29,andujmi01,NYA,Miguel Enrique Andujar,62,21,5,15,2,1,1,5,3,9
30,apostsh01,TEX,Sherten Wimbert Ramiro Apostel,20,7,1,2,1,0,0,0,1,9
31,aquinar01,CIN,Aristides Aquino,47,23,7,8,1,0,2,8,6,18
32,arauzjo01,BOS,Jonathan Aldair Arauz,72,25,8,18,2,0,1,9,8,21
33,arciaor01,MIL,Orlando Jesus Arcia,173,59,22,45,10,1,5,20,14,32
34,arenano01,COL,Nolan James Arenado,182,48,23,46,9,0,8,26,15,20
35,arozara01,TBA,Randy Arozarena,64,23,15,18,2,0,7,11,6,22
36,arraelu01,MIN,Luis Sangel Arraez,112,32,16,36,9,0,0,13,8,11
37,arroych01,BOS,Christian Israel Arroyo,50,14,7,12,1,0,3,8,4,11
38,astudwi01,MIN,Willians Jose Astudillo,16,8,4,4,1,0,1,3,0,2
