Month,2000,2001,2002,2003
Jan.,666922.00,802365.00,574064.00,1072617.00
Feb.,559962.00,567637.00,521469.00,510005.00
Mar.,441071.00,527987.00,522118.00,579541.00
Apr.,556265.00,684457.00,716624.00,771350.00
May,529673.00,747335.00,632066.00,590556.00
Jun.,564722.00,658036.00,633984.00,
Jul.,638531.00,874679.00,543636.00,
Aug.,478899.00,793355.00,596131.00,
Sep.,917045.00,1819748.00,1606798.00,
Oct.,1515695.00,1600287.00,1774832.00,
Nov.,1834695.00,2177214.00,2102863.00,
Dec.,1874515.00,1759703.00,1819749.00,
