Category: All categories

Month,Business analytics: (United States)
2004-01,0
2004-02,7
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,9
2004-08,8
2004-09,0
2004-10,16
2004-11,15
2004-12,29
2005-01,8
2005-02,13
2005-03,9
2005-04,5
2005-05,5
2005-06,8
2005-07,0
2005-08,12
2005-09,4
2005-10,11
2005-11,4
2005-12,0
2006-01,0
2006-02,5
2006-03,4
2006-04,8
2006-05,6
2006-06,16
2006-07,0
2006-08,5
2006-09,5
2006-10,5
2006-11,0
2006-12,5
2007-01,4
2007-02,2
2007-03,6
2007-04,7
2007-05,2
2007-06,7
2007-07,5
2007-08,5
2007-09,6
2007-10,9
2007-11,9
2007-12,6
2008-01,3
2008-02,7
2008-03,7
2008-04,7
2008-05,4
2008-06,7
2008-07,5
2008-08,4
2008-09,6
2008-10,8
2008-11,6
2008-12,4
2009-01,4
2009-02,6
2009-03,5
2009-04,9
2009-05,8
2009-06,8
2009-07,6
2009-08,7
2009-09,8
2009-10,7
2009-11,11
2009-12,9
2010-01,8
2010-02,9
2010-03,10
2010-04,11
2010-05,11
2010-06,13
2010-07,10
2010-08,10
2010-09,16
2010-10,13
2010-11,10
2010-12,11
2011-01,11
2011-02,14
2011-03,16
2011-04,12
2011-05,14
2011-06,14
2011-07,14
2011-08,14
2011-09,15
2011-10,15
2011-11,16
2011-12,13
2012-01,13
2012-02,17
2012-03,14
2012-04,16
2012-05,19
2012-06,16
2012-07,18
2012-08,18
2012-09,23
2012-10,22
2012-11,20
2012-12,16
2013-01,23
2013-02,25
2013-03,24
2013-04,27
2013-05,23
2013-06,21
2013-07,18
2013-08,25
2013-09,29
2013-10,30
2013-11,28
2013-12,23
2014-01,27
2014-02,31
2014-03,30
2014-04,32
2014-05,33
2014-06,27
2014-07,31
2014-08,33
2014-09,39
2014-10,36
2014-11,35
2014-12,29
2015-01,37
2015-02,43
2015-03,40
2015-04,41
2015-05,39
2015-06,30
2015-07,35
2015-08,40
2015-09,42
2015-10,44
2015-11,43
2015-12,38
2016-01,40
2016-02,44
2016-03,49
2016-04,46
2016-05,44
2016-06,42
2016-07,43
2016-08,43
2016-09,49
2016-10,53
2016-11,56
2016-12,46
2017-01,60
2017-02,55
2017-03,59
2017-04,65
2017-05,54
2017-06,53
2017-07,45
2017-08,55
2017-09,63
2017-10,69
2017-11,59
2017-12,51
2018-01,67
2018-02,65
2018-03,66
2018-04,67
2018-05,61
2018-06,52
2018-07,57
2018-08,65
2018-09,67
2018-10,79
2018-11,68
2018-12,58
2019-01,73
2019-02,74
2019-03,72
2019-04,75
2019-05,69
2019-06,66
2019-07,59
2019-08,72
2019-09,83
2019-10,84
2019-11,71
2019-12,70
2020-01,87
2020-02,87
2020-03,68
2020-04,76
2020-05,79
2020-06,73
2020-07,71
2020-08,81
2020-09,82
2020-10,80
2020-11,67
2020-12,70
2021-01,72
2021-02,71
2021-03,73
2021-04,76
2021-05,80
2021-06,72
2021-07,70
2021-08,70
2021-09,88
2021-10,100
2021-11,96
2021-12,81
2022-01,87
2022-02,91
2022-03,90
2022-04,84
2022-05,76
2022-06,72
2022-07,71
2022-08,83
2022-09,91
2022-10,91
2022-11,87
2022-12,80
2023-01,97
2023-02,86
2023-03,92
2023-04,85
2023-05,78
2023-06,67
2023-07,74
2023-08,84
2023-09,94
