Year, Month, Monthly MRSL in meters
1921,1,-0.092
1921,2,-0.134
1921,3,-0.22
1921,4,-0.185
1921,5,-0.119
1921,6,-0.16
1921,7,-0.164
1921,8,-0.222
1921,9,-0.186
1921,10,-0.207
1921,11,-0.146
1921,12,-0.167
1922,1,-0.251
1922,2,-0.225
1922,3,-0.193
1922,4,-0.188
1922,5,-0.207
1922,6,-0.191
1922,7,-0.171
1922,8,-0.174
1922,9,-0.183
1922,10,-0.18
1922,11,-0.168
1922,12,-0.188
1923,1,-0.135
1923,2,-0.192
1923,3,-0.211
1923,4,-0.194
1923,5,-0.207
1923,6,-0.181
1923,7,-0.219
1923,8,-0.232
1923,9,-0.244
1923,10,-0.216
1923,11,-0.155
1923,12,-0.185
1924,1,-0.254
1924,2,-0.146
1924,3,-0.064
1924,4,-0.167
1924,5,-0.155
1924,6,-0.194
1924,7,-0.213
1924,8,-0.186
1924,9,-0.201
1924,10,-0.207
1924,11,-0.216
1924,12,-0.277
1925,1,-0.187
1925,2,-0.234
1925,3,-0.263
1925,4,-0.219
1925,5,-0.204
1925,6,-0.218
1925,7,-0.204
1925,8,-0.204
1925,9,-0.183
1925,10,-0.219
1925,11,-0.232
1925,12,-0.195
1926,1,-0.248
1926,2,-0.113
1926,3,-0.257
1926,4,-0.231
1926,5,-0.213
1926,6,-0.23
1926,7,-0.195
1926,8,-0.167
1926,9,-0.192
1926,10,-0.17
1926,11,-0.247
1926,12,-0.17
1927,1,-0.208
1927,2,-0.106
1927,3,-0.189
1927,4,-0.206
1927,5,-0.171
1927,6,-0.175
1927,7,-0.195
1927,8,-0.171
1927,9,-0.18
1927,10,-0.167
1927,11,-0.171
1927,12,-0.097
1928,1,-0.205
1928,2,-0.241
1928,3,-0.199
1928,4,-0.249
1928,5,-0.174
1928,6,-0.175
1928,7,-0.174
1928,8,-0.161
1928,9,-0.155
1928,10,-0.219
1928,11,-0.213
1928,12,-0.243
1929,1,-0.269
1929,2,-0.164
1929,3,-0.165
1929,4,-0.094
1929,5,-0.259
1929,6,-0.16
1929,7,-0.21
1929,8,-0.189
1929,9,-0.177
1929,10,-0.219
1929,11,-0.213
1929,12,-0.195
1930,1,-0.22
1930,2,-0.21
1930,3,-0.22
1930,4,-0.258
1930,5,-0.213
1930,6,-0.246
1930,7,-0.18
1930,8,-0.171
1930,9,-0.167
1930,10,-0.094
1930,11,-0.238
1930,12,-0.152
1931,1,-0.147
1931,2,-0.164
1931,3,-0.022
1931,4,-0.185
1931,5,-0.174
1931,6,-0.102
1931,7,-0.128
1931,8,-0.131
1931,9,-0.137
1931,10,-0.155
1931,11,-0.238
1931,12,-0.182
1932,1,-0.117
1932,2,-0.106
1932,3,-0.122
1932,4,-0.176
1932,5,-0.235
1932,6,-0.178
1932,7,-0.149
1932,8,-0.174
1932,9,-0.134
1932,10,-0.192
1932,11,-0.11
1932,12,-0.158
1933,1,-0.05
1933,2,-0.164
1933,3,-0.122
1933,4,-0.115
1933,5,-0.134
1933,6,-0.121
1933,7,-0.128
1933,8,-0.131
1933,9,-0.094
1933,10,-0.149
1933,11,-0.174
1933,12,-0.164
1934,1,-0.172
1934,2,-0.231
1934,3,-0.269
1934,4,-0.164
1934,5,-0.232
1934,6,-0.142
1934,7,-0.164
1934,8,-0.195
1934,9,-0.152
1934,10,-0.125
1934,11,-0.207
1934,12,-0.176
1935,1,-0.135
1935,2,-0.207
1935,3,-0.18
1935,4,-0.084
1935,5,-0.177
1935,6,-0.127
1935,7,-0.158
1935,8,-0.143
1935,9,-0.171
1935,10,-0.201
1935,11,-0.067
1935,12,-0.1
1936,1,-0.111
1936,2,-0.146
1936,3,-0.122
1936,4,-0.173
1936,5,-0.192
1936,6,-0.169
1936,7,-0.11
1936,8,-0.171
1936,9,-0.158
1936,10,-0.17
