statefips,countyfips,median_age,white_perc,black_perc,asian_perc,hispanic_perc,hh_income,banks,population,rural_perc,treatment,atm
1,1011,40.700001,0.145,0.838,0.017000001,0.016000001,27.021,1,1959,0.514,1,2
1,1063,49.799999,0,1,0,0,23.448,1,1135,1,0,0
2,2016,38.099998,0.14399999,0.048,0.75700003,0.12899999,83.636,1,2157,1,0,3
2,2070,36.900002,0.208,0,0.048999999,0.034000002,43.846,,587,1,1,0
2,2100,45.299999,0.83499998,0,0,0.039000001,89.115,1,1132,1,1,1
2,2180,27.5,0.205,0.043000001,0.007,0.068000004,61.75,1,873,0.66100001,0,2
2,2185,30.200001,0.067000002,0.011,0.090000004,0.014,52,1,1473,0.59299999,1,3
2,2188,35.099998,0.175,0.008,0.021,0,96.094,1,858,0.57499999,1,3
2,2198,41.400002,0.74199998,0,0.022,0.039000001,66.25,1,435,1,0,2
2,2230,38.5,0.88200003,0.007,0.018999999,0.052000001,72.237,1,1061,1,1,1
2,2240,32.400002,0.94999999,0.006,0.002,0.082000002,75.833,1,1053,1,1,1
4,4011,26.5,0.73699999,0.028999999,0,0.463,89.926,,1147,0.46599999,1,0
5,5013,38.299999,0.68800002,0.31200001,0,0.025,35.682,1,671,1,1,1
5,5099,36.400002,0.65899998,0.28,0.014,0.02,27.083,1,1172,0.69199997,1,3
8,8021,37.400002,0.97399998,0,0.008,0.38299999,44.732,1,1674,1,1,1
8,8025,37.400002,0.94400001,0.017999999,0.003,0.255,35.333,1,1689,1,1,3
8,8027,67.199997,0.95899999,0,0,0.041999999,41.429,1,952,1,0,1
8,8033,49.799999,0.93000001,0,0,0.104,33.333,1,879,1,0,3
8,8053,57.5,0.958,0,0.004,0.057999998,52.188,1,878,1,1,3
8,8055,56.400002,1,0,0,0.38299999,23.5,1,533,0.56099999,0,3
8,8057,46.700001,1,0,0,0.29800001,42.125,1,638,1,1,2
8,8061,34,0.88800001,0.006,0,0.046999998,37.096,1,902,1,0,1
8,8079,58.599998,0.95999998,0.022,0.007,0.096000001,61.058,1,823,1,0,3
8,8093,40.599998,0.97500002,0.011,0,0.079000004,50.417,1,2339,1,0,2
8,8111,52.099998,0.986,0,0,0.088,46.563,,544,1,1,0
12,12043,39,0.64399999,0.31999999,0,0.33000001,46.319,1,1772,0.70599997,0,1
12,12047,35.599998,0.206,0.792,0,0.028999999,0,1,985,0.63499999,0,3
12,12125,29.5,0.88300002,0.108,0,0.057,42.143,1,823,0.67400002,0,1
13,13025,39.200001,1,0,0,0.025,24.833,1,2735,0.99400002,0,0
13,13053,22.700001,0.58899999,0.30199999,0,0.197,0,1,767,0.29499999,1,1
13,13061,53.099998,0.405,0.59500003,0,0,30.893,1,588,1,0,1
13,13065,52,0.60000002,0.40000001,0,0.003,17.614,1,599,0.60399997,1,1
13,13079,46.5,0.31900001,0.66399997,0,0,41.071,1,984,1,1,3
13,13125,36.5,0.88700002,0.082000002,0,0,37.981,,1410,1,1,0
13,13171,25.9,0.53500003,0.41999999,0,0.005,31.364,1,1099,0.60900003,0,1
13,13173,44.400002,0.56900001,0.405,0,0.079999998,47.185,1,1173,0.71100003,1,1
13,13181,42.700001,0.49000001,0.50099999,0,0.012,31.905,1,1019,1,0,0
13,13221,47.099998,0.69599998,0.289,0,0,38.814,1,1478,0.99299997,0,2
13,13265,47.299999,0.54900002,0.44499999,0,0.028999999,35.938,1,657,1,0,2
13,13289,50.5,0.40000001,0.59899998,0,0,26.563,1,1669,1,0,2
13,13301,49.799999,0.63200003,0.30700001,0.061000001,0,41.029,1,742,1,0,2
13,13307,38.5,0.565,0.435,0,0.1,42.159,1,1256,1,0,1
13,13309,44.400002,0.39899999,0.60100001,0,0,0,1,1279,1,1,1
16,16025,46.299999,0.99800003,0,0,0.009,38.393,1,886,1,1,4
16,16061,50.599998,0.875,0,0.048,0.071999997,41.307,1,816,1,0,3
16,16063,33.5,0.90899998,0,0,0.266,35,1,836,1,0,3
17,17151,48.5,0.96600002,0.017000001,0,0.02,28.714,1,940,1,0,2
20,20199,47.200001,0.98699999,0.002,0,0.044,48.295,1,947,1,0,1
20,20203,45.799999,0.98199999,0.01,0,0.43900001,36.484,1,699,1,0,1
21,21057,51,0.66900003,0.285,0,0.033,25.231,1,762,1,0,1
21,21115,42.200001,0.98699999,0,0,0.028000001,19.554,1,1620,0.73000002,1,4
21,21139,58.200001,0.99299997,0,0,0,55.481,1,987,0.954,0,2
21,21181,47,0.96600002,0.022,0,0.046,39.706,1,1041,1,0,3
21,21189,43.5,0.99000001,0.01,0,0,70.625,1,1091,1,0,2
21,21201,42.700001,0.98100001,0.015,0,0.013,48.438,1,970,1,0,0
21,21223,45.200001,0.99400002,0,0.006,0.007,47.267,1,1018,0.94700003,0,2
26,26083,50.299999,0.98299998,0.011,0,0.004,48.201,1,1594,1,0,1
28,28055,34.900002,0.37,0.63,0,0.008,21.786,1,1046,1,0,2
28,28063,34.900002,0.061999999,0.93000001,0.003,0.018999999,20.769,1,1489,1,0,2
29,29085,55.5,0.95700002,0.005,0,0.046,28.906,1,1366,1,0,1
29,29153,30.200001,0.98299998,0.003,0,0.002,22.208,1,1044,1,0,2
29,29227,47.799999,0.97899997,0.007,0,0.006,39.605,1,949,1,0,1
30,30011,47.799999,0.98299998,0,0,0.004,35.469,1,779,1,0,3
30,30019,52.200001,0.98400003,0,0.005,0.045000002,53.523,1,1270,1,0,1
30,30025,35.900002,0.88999999,0,0.028999999,0.021,40.875,1,715,1,1,3
30,30033,43.200001,1,0,0,0.002,45.893,1,1141,1,0,2
30,30045,51.200001,0.96399999,0,0,0.035,43.594,1,999,1,0,1
30,30055,57.799999,0.98799998,0,0,0,42.235,1,560,1,0,2
30,30059,36.599998,0.96600002,0,0,0,41.25,1,881,1,0,0
30,30065,46.900002,0.98699999,0,0.002,0.032000002,36.429,1,865,1,0,3
30,30075,49.799999,0.92799997,0,0,0.021,56.875,1,681,1,0,1
30,30079,51.799999,0.99900001,0,0,0.013,47.25,1,1342,1,1,2
30,30103,52.099998,0.96799999,0,0.017999999,0.008,42.292,1,777,1,1,2
30,30107,39.299999,0.99900001,0,0,0.030999999,40.164,,1287,1,1,0
30,30109,46,0.99299997,0,0.004,0.041999999,50.202,1,1175,1,0,1
31,31005,47.099998,0.95700002,0,0,0.007,43.854,1,418,1,0,2
31,31007,48.5,0.97899997,0,0,0.059999999,59.625,1,696,1,1,4
