state,year,meaning,salary_amt,tot_spending
Alabama,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4996,8562
Alabama,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5045,8755
Alabama,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5130,9028
Alabama,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5139,9128
Alabama,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5156,9243
Alabama,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5350,9511
Alabama,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5417,9696
Alaska,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8106,17390
Alaska,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8151,18175
Alaska,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8193,18416
Alaska,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8245,20172
Alaska,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8330,17510
Alaska,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8504,17838
Alaska,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,8386,17726
Arizona,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4967,7559
Arizona,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4446,7208
Arizona,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4575,7528
Arizona,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4467,7489
Arizona,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4538,7613
Arizona,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4752,8004
Arizona,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,4893,8239
Arkansas,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5627,9411
Arkansas,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5639,9394
Arkansas,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5667,9616
Arkansas,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5717,9694
Arkansas,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5742,9846
Arkansas,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5806,9967
Arkansas,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5921,10139
California,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5569,9183
California,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5567,9220
California,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5791,9595
California,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6203,10467
