gate_score,accepted,hispanic,black,english_learner,special_ed,frpl,male,college,earnings
99,1,0,0,1,0,1,0,1,106077.8158
99,1,0,0,1,0,1,0,1,71399.73957
99,1,0,0,1,1,0,1,1,86506.90595
99,1,0,0,0,0,0,1,1,112841.4529
99,1,0,0,0,0,1,0,1,87918.06082
99,1,1,0,1,0,0,1,1,79672.19415
99,1,0,0,0,0,1,0,1,84164.8428
99,1,0,1,1,0,1,1,1,71279.43045
99,1,0,0,0,0,1,0,1,73361.16008
99,1,0,0,1,0,1,0,1,71902.78082
99,1,0,1,0,0,0,0,1,50874.35946
99,1,0,0,0,0,0,1,1,73528.53342
99,1,0,0,0,0,1,1,1,58062.86636
99,1,0,0,0,0,1,1,1,99299.49131
99,1,0,1,1,0,1,0,1,102183.9094
99,1,0,0,1,0,1,0,1,95299.02462
99,1,0,0,0,0,0,1,1,79741.31853
99,1,0,0,1,1,0,1,1,113800.8656
99,1,0,0,1,0,0,0,1,102015.7187
99,1,0,0,0,0,0,1,1,63517.81012
99,1,0,0,0,0,1,0,1,93519.91829
99,1,0,0,1,0,0,1,1,117540.0214
99,1,0,0,0,0,1,0,1,71619.81922
99,1,0,0,1,0,1,0,1,84474.80097
99,1,0,0,0,0,1,0,0,72788.97053
99,1,0,0,1,0,0,0,0,81741.88365
99,1,0,0,0,0,0,0,1,59334.27159
99,1,0,0,0,0,1,1,1,120992.3281
99,1,0,0,0,0,0,0,1,92141.25336
99,1,0,0,0,0,1,1,0,99443.79214
99,1,0,0,0,0,0,1,0,116475.7525
99,1,0,0,1,1,0,1,1,22212.43614
99,1,0,0,0,0,1,0,1,79943.27565
99,1,0,0,0,1,0,0,1,75686.95312
99,1,0,0,0,0,0,0,0,120813.2579
99,1,0,0,0,0,1,0,1,58876.39892
99,1,0,1,0,0,1,0,1,73227.35077
99,1,0,0,0,0,0,0,1,63020.91782
99,1,0,0,0,0,1,0,1,76768.24687
99,1,0,0,0,0,0,0,1,82800.58111
99,1,0,0,0,1,1,1,1,66554.696
99,1,0,0,0,0,1,1,0,86941.02625
99,1,0,1,0,0,0,0,1,94034.68648
99,1,1,0,0,0,1,1,1,96100.98042
99,1,0,0,1,0,1,1,1,99730.17879
99,1,0,0,1,0,0,0,1,75507.32282
99,1,0,0,0,0,0,1,1,91386.43883
99,1,0,0,0,0,0,1,1,81279.44979
99,1,0,0,0,0,1,1,0,87070.29897
99,1,0,0,0,0,0,1,1,103250.9573
99,1,0,0,0,0,1,1,1,67212.43298
99,1,0,0,0,0,0,0,1,120145.5432
99,1,0,0,0,0,0,0,1,56961.75804
99,1,0,0,0,0,1,0,1,100161.8236
99,1,0,0,0,0,1,0,1,114217.1434
99,1,0,0,1,0,0,0,1,98806.95149
99,1,0,0,0,0,0,1,1,122843.7695
99,1,0,0,0,0,0,1,1,88797.72885
99,1,0,0,0,0,0,1,1,44152.94582
99,1,0,0,0,0,1,0,1,90550.65141
99,1,0,0,0,0,1,1,1,105047.8393
99,1,0,0,0,0,1,0,1,111766.6636
99,1,0,0,0,0,1,0,1,48703.06909
99,1,0,0,1,0,0,0,1,98917.83386
99,1,0,0,0,0,0,0,1,62544.38654
99,1,0,0,0,0,1,1,1,54267.62815
99,1,0,0,0,0,0,1,1,79726.59841
99,1,0,0,1,0,1,1,1,47265.16948
99,1,0,0,0,0,0,0,1,88115.61123
99,1,0,0,0,0,1,0,1,44532.47594
99,1,0,0,0,0,1,0,1,57130.89373
99,1,0,0,0,0,0,1,1,69171.73408
99,1,0,0,0,0,1,0,1,104924.656
99,1,0,0,0,0,1,0,1,80230.53606
99,1,1,0,0,0,1,1,1,85482.0617
99,1,0,0,0,0,1,0,1,114375.7065
99,1,0,0,0,0,1,0,1,76066.17832
99,1,0,0,0,0,1,0,1,75254.66312
99,1,0,0,1,1,0,0,1,85454.75941
99,1,0,0,1,1,0,0,1,90522.36996
99,1,0,0,0,0,1,0,1,86355.85067
99,1,0,0,1,0,0,1,1,86830.35711
99,1,0,0,0,0,0,1,1,96822.97379
99,1,0,0,1,0,1,1,1,92093.587
99,1,0,0,1,0,1,1,1,69897.46445
99,1,0,0,0,0,0,0,1,82228.68457
99,1,0,0,0,0,1,1,1,92923.90266
99,1,0,0,0,0,0,0,1,81087.96537
99,1,0,0,0,0,0,0,1,74114.94946
99,1,0,0,0,0,0,1,1,80558.99287
99,1,0,0,1,0,0,1,1,84001.76867
99,1,0,0,0,0,1,1,1,36345.37347
99,1,0,0,0,0,1,1,0,52546.71262
99,1,0,0,0,0,0,0,1,77305.87793
99,1,0,0,0,0,1,1,1,95400.91952
99,1,0,0,0,0,1,1,0,98687.38376
99,1,0,0,0,0,1,0,0,55922.94628
99,1,0,0,0,0,0,0,1,73882.40999
99,1,0,0,1,0,0,0,1,91708.24898
99,1,0,0,0,0,1,1,1,83793.30276
99,1,1,0,0,0,0,1,1,65876.64414
99,1,0,0,0,1,1,0,1,90956.23704
99,1,0,0,0,1,0,1,1,63379.7394
99,1,1,0,0,0,0,1,1,89970.02449
99,1,0,1,0,0,0,1,1,61692.34301
99,1,0,0,0,0,1,0,1,125647.7647
99,1,0,0,0,0,1,0,1,80806.86663
99,1,0,0,1,0,0,1,1,67531.22715
99,1,0,0,0,0,0,0,1,103952.1047
99,1,0,0,0,0,0,0,1,92215.674
99,1,0,0,0,0,0,0,1,78959.98328
99,1,0,0,0,0,0,0,1,87760.74741
99,1,0,0,0,0,0,0,1,78367.92289
99,1,0,1,0,0,0,0,1,127162.4447
99,1,0,0,0,0,1,1,1,65993.5694
99,1,0,0,1,0,0,1,1,63784.26841
99,1,0,0,0,1,0,1,1,129675.1455
99,1,0,0,0,0,1,1,1,105066.5235
99,1,0,0,0,0,0,0,1,97738.23492
99,1,0,0,1,0,1,1,1,59416.11216
99,1,1,0,0,0,0,0,1,121797.943
99,1,0,0,0,0,1,0,1,79219.4924
99,1,0,0,0,0,0,1,1,81985.55372
99,1,1,0,0,0,0,0,1,55486.90987
99,1,0,0,0,0,1,1,1,75213.01032
99,1,0,0,0,0,1,1,1,80128.59499
99,1,0,0,1,1,1,1,1,75453.52911
99,1,0,0,1,1,1,1,1,79536.29101
99,1,0,0,0,0,0,0,1,106523.7475
99,1,0,0,0,0,1,0,0,76693.44866
99,1,0,0,0,0,0,0,1,77264.51032
99,1,0,0,0,0,1,1,1,76669.93366
99,1,0,0,0,0,0,1,1,82842.72108
99,1,0,0,1,0,1,1,1,92972.06864
99,1,0,0,0,0,1,1,1,57031.04916
99,1,0,0,0,0,0,1,1,58542.72681
99,1,0,0,0,0,1,1,1,57368.23937
99,1,1,0,1,0,0,0,1,80455.40267
99,1,1,0,0,0,0,1,1,84883.72331
99,1,0,0,0,0,1,1,1,94432.27897
99,1,0,0,0,0,0,0,1,98363.66596
99,1,0,0,1,0,0,1,1,70577.13102
99,1,1,0,1,0,0,1,1,94715.26967
99,1,0,0,0,0,0,1,1,78499.93239
99,1,0,0,0,0,1,1,1,107478.0168
99,1,0,0,0,1,1,0,1,38881.75201
99,1,0,0,0,0,0,1,1,35635.90628
99,1,0,0,0,0,0,1,1,44331.09913
99,1,0,0,1,0,1,1,1,72986.82457
99,1,0,0,0,0,0,1,1,67552.81252
99,1,0,0,1,0,1,1,1,82906.6019
99,1,0,0,0,0,1,1,1,84126.86473
99,1,0,0,1,0,1,1,1,96716.86721
99,1,0,0,0,0,0,1,1,91159.87313
99,1,0,0,0,0,0,1,1,60757.56543
99,1,0,0,0,0,0,1,1,73569.26635
99,1,0,0,0,0,0,0,1,93655.73547
99,1,0,0,0,0,0,1,1,82707.43079
99,1,0,0,0,0,1,0,1,56248.0784
99,1,0,1,0,0,1,1,1,125808.8864
99,1,0,0,1,0,1,0,1,59599.54917
99,1,1,0,0,0,0,1,1,103274.8656
99,1,0,0,0,1,0,1,1,105254.0291
99,1,0,0,0,0,0,0,1,40961.48173
99,1,0,0,0,0,0,1,1,116970.1712
99,1,0,0,0,0,1,1,1,76777.54606
99,1,0,0,1,0,1,1,1,114255.9316
99,1,0,0,0,0,1,1,1,110393.6102
99,1,0,0,0,0,0,1,1,69664.30737
99,1,0,0,0,0,1,1,1,89149.00061
99,1,0,0,1,0,0,1,1,33032.53278
99,1,0,0,1,0,0,1,1,74582.05606
99,1,0,0,0,0,0,0,1,58623.1762
99,1,0,0,0,0,1,0,1,68423.77089
99,1,0,0,0,0,0,0,1,80907.14392
99,1,0,0,1,1,1,0,1,123784.0643
99,1,0,0,0,0,1,0,1,131149.33
99,1,0,0,1,0,1,1,1,115042.1746
99,1,0,0,1,0,1,1,1,84531.62386
99,1,0,0,0,0,0,1,1,95689.72663
99,1,0,0,0,0,1,1,1,78741.01763
99,1,0,1,0,0,1,0,0,95785.39452
99,1,0,0,0,0,0,0,1,65330.925
99,1,0,0,0,0,0,1,1,110389.0815
99,1,0,0,0,0,1,1,1,50745.77219
99,1,0,0,1,0,0,0,1,59999.81903
99,1,0,0,0,0,0,0,1,112490.8361
99,1,0,0,0,0,0,0,1,107804.3403
99,1,0,0,0,0,0,1,1,66767.49047
99,1,0,0,0,0,1,0,1,104900.0482
99,1,0,0,0,0,0,1,1,86929.67455
99,1,0,0,0,0,0,1,1,65212.8511
99,1,0,0,0,0,0,0,1,61492.90167
99,1,0,0,0,0,1,0,1,64122.91198
99,1,0,0,0,0,0,1,1,74370.93354
99,1,0,0,1,0,0,0,0,74360.36263
99,1,0,0,0,0,0,0,1,121706.381
99,1,0,0,0,0,1,0,1,119124.9607
99,1,0,0,0,0,1,0,0,109722.3087
99,1,0,0,0,0,0,0,1,104757.692
