GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6001400100,401300304,62805004273,Kaiser Elementary School,e,7,0.31400001,275,0.361314,0.30292001,0.13503601,0.091240868,0.094890498,0.0109489,3745.595621,12288.69994,0.71985096,0.035907861,0.16124661,0.033536587,0.77768594,0.5913223,NA,0.034891598,NA
6001400200,401300304,62805004250,Claremont Middle School,m,3,0.616,404,0.162946,0.54464298,0.127232,0.066964239,0.049107101,0.00446429,5407.904256,17742.4686,0.80191535,0.014616936,0.083165325,0.090725809,0.82867783,0.67287397,NA,0.05796371,0
6001400400,401300304,62805004307,Peralta Elementary School,e,10,0.33399999,298,0.54141998,0.177515,0.118343,0.04733726,0.100592,0.00295858,5530.687656,18145.30129,0.71254569,0.11059684,0.098903775,0.090621196,0.7898984,0.6060968,NA,0.07440839,0
6001400500,401300304,62805011558,Sankofa Academy,"p,e,m",2,0.884,205,0.064024404,0.73170698,0.073170699,0.064024404,0.0304878,0.00609756,6069.797762,19914.03529,0.61846071,0.24322103,0.047932073,0.14187893,0.9265362,0.57775491,43338,0.12654746,0
6001400700,401300304,62805004313,Santa Fe Elementary School,e,NA,NA,186,NA,NA,NA,NA,NA,NA,7444.567193,24424.43383,0.44696304,0.40294895,0.028609155,0.13006163,0.87336892,0.37663108,NA,0.19784331,0.29596412
6001400800,401300304,69105112901,Yu Ming Charter,"e,m",NA,NA,105,NA,NA,NA,NA,NA,NA,7405.76851,24297.14156,0.4272753,0.34987241,0.12106606,0.12531897,0.84955114,0.44380611,41530,0.086519115,0
6001400800,401300304,62805010727,Aspire Berkley Maynard Academy,"e,m",6,0.80599999,551,0.0142602,0.44563299,0.506239,0.02139039,0.00891266,0.00356506,7610.636158,24969.27953,0.4272753,0.34987241,0.12106606,0.12531897,0.84955114,0.44380611,41530,0.086519115,0
6001400800,401300304,62805005632,Civicorps Elementary,e,NA,NA,155,NA,NA,NA,NA,NA,NA,7420.692924,24346.10617,0.4272753,0.34987241,0.12106606,0.12531897,0.84955114,0.44380611,41530,0.086519115,0
6001401000,401300304,62805010729,"Oakland Military Institute, College Preparatory Academy","m,h",5,0.71200001,623,0.0347705,0.23504899,0.49652299,0.19193324,0.0417246,NA,7957.182396,26106.24229,0.39034575,0.39786205,0.042592283,0.19642559,0.85240096,0.32042488,NA,0.27161732,0.88489211
6001401000,401300304,62805008442,North Oakland Community Charter School,"e,m",8,0.211,215,0.41703999,0.170404,0.179372,0.0134529,0.21524701,NA,7916.903665,25974.09422,0.39034575,0.39786205,0.042592283,0.19642559,0.85240096,0.32042488,NA,0.27161732,0.88489211
6001401100,401300304,62805012049,Oakland International High School,h,1,0.81,290,0.079320103,0.053824399,0.51841402,0.32294571,NA,NA,6922.126079,22710.38813,0.57292163,0.22517815,0.11163896,0.15154395,0.90836895,0.51160657,48191,0.156057,0.39473686
6001401200,401300304,62805004305,Oakland Technical High School,h,5,0.53600001,1858,0.22036301,0.361855,0.186902,0.19168243,0.0243786,0.00334608,6796.609112,22298.58704,0.59975964,0.1514423,0.10176282,0.18149039,0.88085109,0.56122929,NA,0.080097087,0.32075471
6001401200,401300304,62805004260,Emerson Elementary School,e,2,0.824,315,0.092537299,0.60895503,0.179104,0.068656698,0.029850701,0.00895522,6674.911623,21899.31705,0.59975964,0.1514423,0.10176282,0.18149039,0.88085109,0.56122929,NA,0.080097087,0.32075471
6001401300,401300304,62805007804,Street Academy (Alternative),h,2,0.75,NA,0.034090899,0.5,0.27272701,0.068181798,0.045454498,0.079545498,8660.739854,28414.50174,0.33300149,0.3591339,0.18442011,0.13364857,0.79310346,0.30718392,NA,0.33171651,0.39224139
6001401400,401300304,62805012610,Home And Hospital Program,"e,m,h",NA,NA,1,NA,NA,NA,NA,NA,NA,8968.905956,29425.54542,0.27494034,0.45059666,0.11431981,0.23579952,0.78330433,0.18052174,NA,0.40720156,0.55616438
6001401400,401300304,62805012611,Young Adult Program,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,8968.905956,29425.54542,0.27494034,0.45059666,0.11431981,0.23579952,0.78330433,0.18052174,NA,0.40720156,0.55616438
6001401400,401300304,62805004276,Hoover Elementary School,e,2,0.87300003,318,0.044673499,0.439863,0.43642601,0.041237149,0.0103093,0.00343643,8587.53414,28174.32551,0.27494034,0.45059666,0.11431981,0.23579952,0.78330433,0.18052174,NA,0.40720156,0.55616438
6001401600,401300304,62805011555,Mcclymonds High School,h,2,0.86199999,247,0.018181801,0.88727301,0.050909098,0.01454546,0.0109091,0.00363636,9294.184886,30492.73354,0.40946084,0.3753815,0.12512717,0.14750762,0.86426997,0.31768158,NA,0.30264497,0.60795456
6001401800,400100009,62805004309,Preparatory Literary Academy Of Cultural Excellence,e,1,0.912,212,0.050925899,0.60648102,0.26851901,0.032407399,0.0277778,NA,10098.00778,33129.94783,0.25834617,0.53466874,0.024139702,0.19260401,0.79929268,0.29354554,NA,0.37236774,0.7157895
6001402500,400100009,62805004297,"Martin Luther King, Jr. Elementary School",e,1,0.86699998,244,0.094155803,0.590909,0.12987,0.12987027,0.022727299,NA,9246.477618,30336.21363,0.16622968,0.61667538,0.084950186,0.16832721,0.82213032,0.18614271,NA,0.49554273,0.78694159
6001402500,400100009,62805011935,KIPP Bridge Charter School,m,9,0.70899999,261,0.02589,0.60841399,0.26537201,0.01941745,0.042071201,0.012945,9479.188982,31099.70238,0.16622968,0.61667538,0.084950186,0.16832721,0.82213032,0.18614271,NA,0.49554273,0.78694159
6001402500,400100009,62805012048,West Oakland Middle School,m,1,0.88300002,151,0.102804,0.705607,0.088785,0.065420598,0.0140187,0.0046729,9479.188982,31099.70238,0.16622968,0.61667538,0.084950186,0.16832721,0.82213032,0.18614271,NA,0.49554273,0.78694159
6001402700,400100009,62805004285,Lafayette Elementary School,e,1,0.949,294,0.065693401,0.56204402,0.240876,0.080291972,0.0145985,NA,9542.770155,31308.30204,0.33042052,0.4620426,0.081922449,0.1638449,0.70881569,0.27871773,NA,0.30961645,0.40588236
6001402800,400100009,62805010461,Oakland School for the Arts,"m,h",7,0.142,NA,0.403846,0.220414,0.150888,0.04437872,0.152367,0.00147929,9017.879767,29586.22066,0.33494318,0.4127841,0.159375,0.080397725,0.74870735,0.29955187,NA,0.43310463,0.16593887
6001402900,400100009,69105110947,Envision Academy For Arts &amp; Technology,h,4,0.773,333,0.046647198,0.422741,0.44898,0.03207,0.0204082,0.023323599,8563.666598,28096.01992,0.26543209,0.17215364,0.43827161,0.11248285,0.77261615,0.35452324,NA,0.2501829,0.17857143
6001402900,400100009,62805010726,Lighthouse Community Charter High School,h,7,0.88599998,214,0.016949199,0.093220301,0.83050799,0.042372879,0.016949199,NA,8758.50965,28735.2688,0.26543209,0.17215364,0.43827161,0.11248285,0.77261615,0.35452324,NA,0.2501829,0.17857143
6001403300,400100009,62805012041,Oakland Charter High School,h,10,0.78899997,158,0.0150376,0.033834599,0.5,0.43609041,0.0075188,NA,8040.603003,26379.93196,0.28290433,0.089606605,0.54905295,0.047353085,0.7024433,0.43077371,NA,0.22900763,0.7669903
6001403300,400100009,62805012013,American Indian Public Charter School Ii,"e,m",9,0.73900002,194,0.0372671,0.15735,0.0641822,0.71842641,0.0124224,0.010352,8040.603003,26379.93196,0.28290433,0.089606605,0.54905295,0.047353085,0.7024433,0.43077371,NA,0.22900763,0.7669903
6001403300,400100009,62805012506,Gateway To College at Laney College School,h,NA,0.40599999,86,0.041666701,0.30208299,0.54166698,0.083333403,0.0104167,NA,7671.151468,25167.82058,0.28290433,0.089606605,0.54905295,0.047353085,0.7024433,0.43077371,NA,0.22900763,0.7669903
6001403300,400100009,62805004289,Lincoln Elementary School,e,10,0.86699998,608,0.037533499,0.069705099,0.038874,0.8284179,0.0160858,0.00134048,8076.235439,26496.83628,0.28290433,0.089606605,0.54905295,0.047353085,0.7024433,0.43077371,NA,0.22900763,0.7669903
6001403501,401300304,62805004323,Westlake Middle School,m,2,0.912,644,0.050788101,0.51488602,0.246935,0.1558665,0.0105079,0.00350263,8719.02179,28605.71545,0.36540991,0.28803158,0.208242,0.16527839,0.77857143,0.38068783,NA,0.23688889,0.5990566
6001404101,401300304,62805004308,Piedmont Avenue Elementary School,e,5,0.74299997,357,0.0446194,0.66141701,0.154856,0.060367409,0.039370101,0.00787402,6800.147695,22310.19656,0.75720024,0.027461488,0.1141996,0.062290691,0.91080755,0.63881075,NA,0.078938529,0
6001404200,401300304,62805004275,Hillcrest Elementary School,"e,m",10,0.039999999,334,0.59248602,0.069364198,0.0751445,0.13005771,0.13005801,NA,5073.332508,16644.79223,0.71161252,0.087231703,0.14336818,0.055586129,0.78912133,0.62384939,83393,0.030338053,0
6001404300,401300304,62805004239,Chabot Elementary School,e,10,0.093000002,514,0.58813602,0.122034,0.094915301,0.08474578,0.096610203,0.00169492,4399.454909,14433.90764,0.70768327,0.049161024,0.15572564,0.088313214,0.76992542,0.61327052,NA,0.017073888,NA
6001404300,401300304,62805011560,Far West,"m,h",NA,NA,157,NA,NA,NA,NA,NA,NA,6012.831754,19727.13893,0.70768327,0.049161024,0.15572564,0.088313214,0.76992542,0.61327052,NA,0.017073888,NA
6001404502,401300304,62805004318,Thornhill Elementary School,e,10,0.101,390,0.55440402,0.111399,0.095854901,0.13212402,0.085492201,0.00777202,5216.693946,17115.13817,0.77010858,0.041781705,0.11246089,0.076385051,0.84566444,0.64349669,NA,0.029455081,0
6001404502,401300304,62805004302,Montclair Elementary School,e,10,0.12,451,0.52372301,0.15146001,0.124088,0.096715368,0.080292001,0.00547445,5780.407768,18964.59302,0.77010858,0.041781705,0.11246089,0.076385051,0.84566444,0.64349669,NA,0.029455081,0
6001404600,401300304,62805004303,Montera Middle School,m,5,0.51200002,913,0.24656101,0.353439,0.202116,0.1132275,0.051851802,0.00529101,7215.002339,23671.26828,0.73203522,0.045897078,0.15136763,0.041492812,0.85008615,0.61143023,NA,0.035987925,0
6001404600,401300304,62805004280,Joaquin Miller Elementary School,e,9,0.168,426,0.52606601,0.165877,0.13033199,0.1066351,0.063980997,NA,7239.530965,23751.74277,0.73203522,0.045897078,0.15136763,0.041492812,0.85008615,0.61143023,NA,0.035987925,0
6001404900,400100009,62805004266,Glenview Elementary School,e,8,0.368,404,0.369892,0.206452,0.165591,0.1462369,0.101075,NA,8400.783132,27561.62533,0.61413306,0.070179701,0.19111219,0.13186012,0.8474524,0.57612032,NA,0.063137442,1
6001404900,400100009,62805004299,Edna Brewer Middle School,m,6,0.69999999,790,0.120198,0.30111501,0.208178,0.29491994,0.032218099,0.00619579,8051.776837,26416.59152,0.61413306,0.070179701,0.19111219,0.13186012,0.8474524,0.57612032,NA,0.063137442,1
6001405100,401300304,62805004253,Crocker Highlands Elementary School,e,10,0.059999999,394,0.582367,0.134571,0.0765661,0.07656616,0.113689,0.00232019,8108.862253,26603.87963,0.66501886,0.14124294,0.10193032,0.040960453,0.80944675,0.62989324,NA,0.017419962,1
6001405200,400100009,62805004304,Oakland High School,h,3,0.866,1730,0.0161082,0.36597899,0.219716,0.38402089,0.00322165,0.00257732,8211.724537,26941.35433,0.46330756,0.12189003,0.24524356,0.12711687,0.84002978,0.58333331,NA,0.077984527,0.13513513
6001405200,400100009,62805004251,Cleveland Elementary School,e,9,0.59899998,348,0.136951,0.20155001,0.118863,0.43410891,0.0930233,0.00258398,8130.720249,26675.59222,0.46330756,0.12189003,0.24524356,0.12711687,0.84002978,0.58333331,NA,0.077984527,0.13513513
6001405402,400100009,62805004261,Franklin Elementary School,e,5,0.89099997,740,0.0133333,0.133333,0.26666701,0.55066633,0.0106667,0.004,6975.842941,22886.62456,0.18396072,0.28936172,0.37414074,0.16530278,0.74031413,0.20837696,NA,0.24713419,0.68586385
6001405600,400100009,62805004241,Bella Vista Elementary School,"p,e",6,0.65100002,500,0.041666701,0.234127,0.218254,0.48214304,0.0198413,0.00198413,7662.263471,25138.66049,0.35257411,0.24305773,0.31638065,0.14695787,0.80903226,0.43096775,NA,0.1226209,0.4214876
6001405901,400100009,62805004265,Garfield Elementary School,e,2,0.92500001,651,0.018211899,0.167219,0.44867501,0.34437129,0.0115894,0.00662252,6146.590065,20165.97855,0.17201382,0.18706812,0.42917079,0.36056268,0.53104836,0.067741938,NA,0.32403752,0.66037738
6001405901,400100009,62805004312,Roosevelt Middle School,m,3,0.963,653,0.0191638,0.17073201,0.33972099,0.4547039,0.00348432,0.00174216,6479.987739,21259.80297,0.17201382,0.18706812,0.42917079,0.36056268,0.53104836,0.067741938,NA,0.32403752,0.66037738
