ncescode,name,type,levelcode,rating,frpl,enrollment,white,black,hispanic,asian,multiracial,native_american,street,city,state,zip,county,fipscounty,lat,lon,districtid,districtname
1501,Lincoln Elementary,public,e,,.70099998,,.35148501,.0049505001,.61221099,.0082508298,.00165017,.0082508205,333 South D Street,Exeter,CA,,Tulare,6107,36.292828,-119.13692,1544,Exeter Unified School District
1502,Rocky Hill Elementary,public,e,,.69199997,,.37578601,.00314465,.59748399,.00314466,.0062893098,.0094339596,313 Sequoia Drive,Exeter,CA,,Tulare,6107,36.302589,-119.1413,1544,Exeter Unified School District
1504,Exeter High,public,h,,.41600001,,.479296,.0072463802,.480331,.01552795,.0082815699,.0082815699,505 Rocky Hill Drive,Exeter,CA,,Tulare,6107,36.297344,-119.13559,1544,Exeter Unified School District
1505,Kaweah High,public,h,,.56300002,,.35416701,,.64583302,,,,21215 Ave 300,Exeter,CA,,Tulare,6107,36.332863,-119.09783,1544,Exeter Unified School District
6105,Barbara Webster Elementary,public,e,,.92699999,,.0141844,,.985816,,,,1150 Saticoy Street,Santa Paula,CA,,Ventura,6111,34.359646,-119.05952,1545,Santa Paula Unified School District
6106,Blanchard Elementary,public,e,,.85100001,,.043103401,.0021551701,.954741,,,,115 North Peck Road,Santa Paula,CA,,Ventura,6111,34.343731,-119.088,1545,Santa Paula Unified School District
6107,Glen City Elementary,public,e,,.912,,.0248062,,.97209299,.0031007801,,,141 South Steckel Drive,Santa Paula,CA,,Ventura,6111,34.346722,-119.07932,1545,Santa Paula Unified School District
6108,Grace S. Thille Elementary,public,e,,.89399999,,.0073710098,.0024570001,.98771501,,.0024570001,,1144 East Ventura Street,Santa Paula,CA,,Ventura,6111,34.353313,-119.05586,1545,Santa Paula Unified School District
6109,Isbell Middle,public,m,,.84500003,,.037668198,.00269058,.953363,.0044843019,.0017937199,,221 South 4th Street,Santa Paula,CA,,Ventura,6111,34.349041,-119.06607,1545,Santa Paula Unified School District
6110,Mckevett Elementary,public,e,,.84200001,,.040767401,.0071942401,.94244599,,.0071942401,.00239808,955 East Pleasant Street,Santa Paula,CA,,Ventura,6111,34.35828,-119.06314,1545,Santa Paula Unified School District
